xflr5 v6.42

 Calculated polar for: NACA 6508

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.090 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-19.800,-0.3057, 0.19288, 0.18769,-0.0343,1.0000,0.0314,-0.9307, 0.0000, 0.1296
-19.700,-0.3031, 0.19132, 0.18613,-0.0344,1.0000,0.0317,-0.9138, 0.0000, 0.1284
-19.600,-0.3010, 0.19008, 0.18490,-0.0345,1.0000,0.0319,-0.9051, 0.0000, 0.1271
-19.500,-0.2990, 0.18902, 0.18383,-0.0347,1.0000,0.0322,-0.8989, 0.0000, 0.1258
-19.400,-0.2972, 0.18806, 0.18287,-0.0348,1.0000,0.0325,-0.8945, 0.0000, 0.1246
-19.300,-0.2955, 0.18715, 0.18197,-0.0350,1.0000,0.0327,-0.8915, 0.0000, 0.1233
-19.200,-0.2939, 0.18631, 0.18113,-0.0352,1.0000,0.0330,-0.8896, 0.0000, 0.1220
-19.100,-0.2923, 0.18549, 0.18032,-0.0354,1.0000,0.0333,-0.8885, 0.0000, 0.1207
-19.000,-0.2907, 0.18470, 0.17953,-0.0356,1.0000,0.0336,-0.8881, 0.0000, 0.1194
-18.900,-0.2892, 0.18393, 0.17876,-0.0358,1.0000,0.0339,-0.8883, 0.0000, 0.1181
-18.800,-0.2878, 0.18317, 0.17801,-0.0360,1.0000,0.0342,-0.8890, 0.0000, 0.1168
-18.700,-0.2863, 0.18243, 0.17726,-0.0362,1.0000,0.0345,-0.8901, 0.0000, 0.1155
-18.600,-0.2849, 0.18169, 0.17653,-0.0364,1.0000,0.0348,-0.8915, 0.0000, 0.1142
-18.500,-0.2835, 0.18096, 0.17581,-0.0366,1.0000,0.0351,-0.8933, 0.0000, 0.1129
-18.400,-0.2822, 0.18024, 0.17509,-0.0367,1.0000,0.0355,-0.8953, 0.0000, 0.1117
-18.300,-0.2808, 0.17953, 0.17438,-0.0369,1.0000,0.0358,-0.8976, 0.0000, 0.1104
-18.200,-0.2796, 0.17883, 0.17368,-0.0371,1.0000,0.0361,-0.9001, 0.0000, 0.1092
-18.100,-0.2783, 0.17813, 0.17299,-0.0372,1.0000,0.0364,-0.9028, 0.0000, 0.1081
-18.000,-0.2771, 0.17745, 0.17231,-0.0374,1.0000,0.0368,-0.9057, 0.0000, 0.1069
-17.900,-0.2759, 0.17677, 0.17164,-0.0376,1.0000,0.0371,-0.9088, 0.0000, 0.1058
-17.800,-0.2747, 0.17611, 0.17098,-0.0377,1.0000,0.0375,-0.9122, 0.0000, 0.1047
-17.700,-0.2736, 0.17546, 0.17033,-0.0378,1.0000,0.0378,-0.9159, 0.0000, 0.1036
-17.600,-0.2726, 0.17482, 0.16970,-0.0380,1.0000,0.0382,-0.9199, 0.0000, 0.1026
-17.500,-0.2715, 0.17421, 0.16910,-0.0381,1.0000,0.0386,-0.9243, 0.0000, 0.1015
-17.400,-0.2706, 0.17362, 0.16851,-0.0383,1.0000,0.0389,-0.9293, 0.0000, 0.1006
-17.300,-0.2697, 0.17307, 0.16797,-0.0384,1.0000,0.0393,-0.9351, 0.0000, 0.0996
-17.200,-0.2689, 0.17258, 0.16748,-0.0385,1.0000,0.0396,-0.9419, 0.0000, 0.0986
-17.100,-0.2683, 0.17216, 0.16707,-0.0387,1.0000,0.0399,-0.9500, 0.0000, 0.0977
-17.000,-0.2678, 0.17184, 0.16675,-0.0389,1.0000,0.0402,-0.9596, 0.0000, 0.0968
-16.900,-0.2675, 0.17162, 0.16654,-0.0391,1.0000,0.0405,-0.9709, 0.0000, 0.0960
